Instructor	Crisel	Cassady	Rainwater	Nachtmann	Sullivan	Chimka	Liu	Milburn	L.Pohl	Rossetti	E.Pohl	Needy	Zhang	Specking
2103	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2214	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2223	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2314	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2323	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2413	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2613	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3313	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3333	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3533	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3543	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3553	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3624	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3714	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3833	0	0	0	0	0	0	0	0	0	1	0	0	0	0
4143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4253	0	0	0	0	0	0	0	0	0	0	1	1	0	0
4323	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4433	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4683	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4913	0	0	0	0	0	0	0	0	0	0	0	0	0	0