Class	Semester 1	Semester 2	Semester 3	Semester 4	Semester 5	Semester 6	Semester 7	Semester 8
2103	0	0	1	0	0	0	0	0
2214	0	0	1	0	0	0	0	0
2223	0	0	0	1	0	0	0	0
2314	0	0	1	0	0	0	0	0
2323	0	0	0	1	0	0	0	0
2413	0	0	0	1	0	0	0	0
2613	0	0	0	1	0	0	0	0
3313	0	0	0	0	0	0	0	0
3333	0	0	0	0	1	0	0	0
3443	0	0	0	0	1	0	0	0
3533	0	0	0	0	0	1	0	0
3543	0	0	0	0	1	0	0	0
3553	0	0	0	0	0	1	0	0
3624	0	0	0	0	1	0	0	0
3714	0	0	0	0	0	1	0	0
3833	0	0	0	0	0	1	0	0
4143	0	0	0	0	0	0	0	0
4253	0	0	0	0	0	0	0	0
4323	0	0	0	0	0	0	0	0
4433	0	0	0	0	0	0	1	0
4683	0	0	0	0	0	0	0	0
4913	0	0	0	0	0	0	1	0